codigo,producto,categoria,precio
CYCSA-001,Diseño de Mezcla de Suelo-Cemento,N/A,7400.0
CYCSA-001-1,Diseño de mezcla de Lodocreto.,N/A,7400.0
CYCSA-001-2,Diseño de mezcla de mortero.,N/A,7400.0
CYCSA-002,Método de prueba estándar para la determinación de la dureza de la roca mediante el método del martillo de rebote,N/A,1500.0
CYCSA-003,CYCSA-Método de prueba estándar para la relación de carga de california (CBR) de suelos compactados en laboratorio.,N/A,2250.0
CYCSA-005,Métodos de prueba estándar para la densidad del suelo y los materiales rocosos in situ mediante el método de reemplazo de agua en un pozo de prueba compactación por reemplazo de agua.,N/A,2250.0
CYCSA-006,CYCSA-PE-03- Determinación de los pesos unitarios seco sueltos y seco compacto de los agregados gruesos y finos.  ( PVSS y PVSC ).,N/A,1500.0
CYCSA-007,Métodos de prueba estándar para índice de densidad mínimo y peso unitario de suelos y cálculo de densidad relativa (Densidad Mínima-Densidad Máxima),N/A,1500.0
CYCSA-010,"CYCSA-Método de prueba estándar para partículas planas, partículas alargadas o partículas planas y alargadas en agregado grueso   (Alargamiento ó aplastamiento)",N/A,1200.0
CYCSA-013,Método de prueba estándar para determinar el porcentaje de partículas fracturadas en agregado grueso (caras fracturadas),N/A,1150.0
CYCSA-014,CYCSA-Tracción indirecta en roca,N/A,5550.0
CYCSA-015,Práctica estándar para pruebas de líquidos penetrantes para la industria general.,N/A,2000.0
CYCSA-016,Ensayos de tensión en placas de acero,N/A,7400.0
CYCSA-017,ENSAYOS DE ESPESOR DE PINTURA,N/A,2000.0
CYCSA-018,"Determinación de sales solubles (cloruros, sulfatos y sales totales)",N/A,4300.0
CYCSA-019,Método de prueba estándar para grumos de arcilla y partículas desmezurable en agregados,N/A,1900.0
CYCSA-020,CYCSA-Contenido de Cloruros solubles en agua,N/A,7400.0
CYCSA-021,CYCSA-Contenido de sulfatos solubles en suelo o agua subterránea,N/A,7400.0
CYCSA-022,"Laboratorio para realizar Ensayos CYCSA-PE-27“Procedimiento para la Determinación de Temperatura en el concreto fresco”,  CYCSA-PE-09 ""Determinación del Revenimiento del Concreto"" y CYCSA-PE-07“Determinación de la resistencia del concreto” 4 cilindros.",N/A,5550.0
CYCSA-022-3CILIDNROS,"Laboratorio para realizar Ensayos, CYCSA-PE-27“Procedimiento para la Determinación de Temperatura en el concreto fresco”, CYCSA-PE-09 ""Determinación del Revenimiento del Concreto"" y CYCSA-PE-07“Determinación de la resistencia del concreto” 3 cilindros.",N/A,4800.0
CYCSA-022-DIA,"Laboratorio por día   CYCSA-PE-27“Procedimiento para la Determinación de Temperatura en el concreto fresco”, CYCSA-PE-09 ""Determinación del Revenimiento del Concreto"" y CYCSA-PE-07“Determinación de la resistencia del concreto” 12 cilindros .",N/A,5550.0
CYCSA-023,Muestreo de ladrillos,N/A,600.0
CYCSA-024,Muestreo de agregados,N/A,600.0
CYCSA-025,"Preparación de muestras (Suelo, Agregado, Adoquín, Bloque, Concreto)",N/A,900.0
CYCSA-026,Movilización,N/A,0.0
CYCSA-026-1,Movilización Managua Urbano,N/A,2300.0
CYCSA-026-10,Movilización hacia Santa Rosa.,N/A,3700.0
CYCSA-026-11,Movilización hacia  El Sauce.,N/A,3700.0
CYCSA-026-12,Movilización hacia Rivas,N/A,3700.0
CYCSA-026-13,Movilización hacia Granada.,N/A,3700.0
CYCSA-026-14,Movilización hacia  Pueblos Blancos,N/A,3700.0
CYCSA-026-15,Movilización hacia  Masaya.,N/A,3700.0
CYCSA-026-16,Movilización hacia Carazo.,N/A,3700.0
CYCSA-026-17,Movilización hacia Puerto Morazán.,N/A,5000.0
CYCSA-026-18,Movilización hacia Somotillo.,N/A,5000.0
CYCSA-026-19,Movilización hacia Chontales,N/A,5500.0
CYCSA-026-2,Movilización Chinandega-Urbano,N/A,2300.0
CYCSA-026-20,Movilización hacia Matagalpa.,N/A,5000.0
CYCSA-026-21,Movilización Jinotega.,N/A,5000.0
CYCSA-026-22,Movilización hacia Nueva Segovia.,N/A,5000.0
CYCSA-026-23,Movilización hacia Boaco,N/A,5000.0
CYCSA-026-24,Movilización hacia San Carlos.,N/A,11050.0
CYCSA-026-25,Movilización hacia  Bilwi.,N/A,11050.0
CYCSA-026-26,Movilización hacia Wiwilí,N/A,11050.0
CYCSA-026-27,Movilización hacia El Rama.,N/A,11050.0
CYCSA-026-28,Movilización hacia Nueva Guinea,N/A,11050.0
CYCSA-026-29,Movilización Tipitapa.,N/A,3000.0
CYCSA-026-3,Movilización  sitio carretera Potosí Km 142,N/A,3700.0
CYCSA-026-30,Movilización Waspam.,N/A,44200.0
CYCSA-026-31,Movilización hacia Región del Autónoma Atlántico Norte (RAAN).,N/A,44200.0
CYCSA-026-32,Movilización hacia Bonanza.,N/A,44200.0
CYCSA-026-33,Movilización a Puerto Sandino.,N/A,2250.0
CYCSA-026-34,Movilización hacia  Posoltega.,N/A,1900.0
CYCSA-026-35,Movilización hacia Nandaime.,N/A,3000.0
CYCSA-026-36,Movilización hacia Estelí (Urbano),N/A,5550.0
CYCSA-026-37,Movilización hacia mina El Limón.,N/A,2500.0
CYCSA-026-38,Movilización hacia León.,N/A,1300.0
CYCSA-026-39,Movilización hacia Peñas Blancas.,N/A,18000.0
CYCSA-026-4,Movilización Km 139 carretera a Corinto,N/A,2600.0
CYCSA-026-40,Movilización ciudad de Managua.,N/A,1500.0
CYCSA-026-41,Movilización hacia Corinto.,N/A,2600.0
CYCSA-026-5,"Carretera León-San Isidro, San Jacinto Tizate.",N/A,2000.0
CYCSA-026-6,Movilización Telica-León,N/A,2000.0
CYCSA-026-7,Movilización hacia San Juan del Sur.,N/A,11050.0
CYCSA-026-8,Movilización hacia Ocotal,N/A,7200.0
CYCSA-026-9,Movilización hacia Achuapa.,N/A,3700.0
CYCSA-026-EXONERADO,Movilización exonerada.,N/A,0.0
CYCSA-027,Canon de arrendamientos.,N/A,3700.0
CYCSA-028,"Laboratorio por día,   ( Jornada  diurna ordinaria, no mayor a 8 horas , máximo de ensayos a realizar  6  ) CYCSA-PE-25 “Método estándar para la determinación de densidad in situ y contenido de agua (densímetro nuclear)”",N/A,5900.0
CYCSA-028-PUNTUAL 3,Servicio de laboratorio puntual para realizar máximo 3 ensayos CYCSA-PE-25 “Método estándar para la determinación de densidad in situ y contenido de agua (densímetro nuclear)”,N/A,4400.0
CYCSA-028-PUNTUAL 4,Servicio de laboratorio puntual para realizar máximo 4 ensayos  CYCSA-PE-25 “Método estándar para la determinación de densidad in situ y contenido de agua (densímetro nuclear)”,N/A,5200.0
CYCSA-029,Servicio por mes para ensayo CYCSA-PE-25 “Método estándar para la determinación de densidad in situ y contenido de agua (densímetro nuclear)” Y CYCSA-PE-18 Determinación de las características de compactación del suelo por el método Proctor Estándar,N/A,132500.0
CYCSA-030,Permeabilidad de Pared Flexible  (K),N/A,10500.0
CYCSA-031,Ensayo de Expansión (Exp).,N/A,0.0
CYCSA-032,"Toma de muestra,  vigueta de concreto.",N/A,800.0
CYCSA-033,"Toma de muestra ,  cilindro  de concreto.",N/A,600.0
CYCSA-034,Estudio Geológico,N/A,0.0
CYCSA-035,Estudio Hidrogeológico.,N/A,0.0
CYCSA-036,Sondeos manuales a un metro de profundidad ( Extracción de 2 muestras  0 a 50 cm y de  50cm a 100 cm),N/A,5550.0
CYCSA-037,Diseño de carpeta de rodamiento en asfalto y concreto.,N/A,11100.0
CYCSA-038,"Informe de  estudio geotécnico, conclusiones y recomendaciones.",N/A,3700.0
CYCSA-039,"Infiltración, ensayo de permeabilidad Lefranc + informe.",N/A,7400.0
CYCSA-29-1,Servicio por mes para ensayo CYCSA-PE-25 “Método estándar para la determinación de densidad in situ y contenido de agua (densímetro nuclear),N/A,132500.0
CYCSA-GRANITO,Plancha de Granito.,Sin categoría.,0.0
CYCSA-MO PROYECTOS,CYCSA-SERVICIO DE MANO DE OBRA,N/A,0.0
CYCSA-MO PROYECTOS E,CYCSA-MO PROYECTOS E,N/A,0.0
CYCSA-PE-01,"CYCSA-PE-01  ""Determinación de la Humedad en  muestras de agregados""",N/A,900.0
CYCSA-PE-01-1,CYCSA-PE-07 Determinación de la resistencia  del concreto (Núcleos ),N/A,900.0
CYCSA-PE-02,Método de prueba estándar para densidad relativa (gravedad específica) y absorción de agregado fino y gruesos (% de absorción),N/A,900.0
CYCSA-PE-02.,"Método de prueba estándar para densidad relativa (gravedad específica) y absorción de agregado fino y gruesos (Gravedad GE, GE SSS, GE AP)",N/A,2250.0
CYCSA-PE-02-R,Método de prueba estándar para densidad relativa (gravedad específica) y absorción de agregado  gruesos    (% de Absorción) en roca.,N/A,900.0
CYCSA-PE-03..,CYCSA-PE-03- Determinación de los pesos unitarios seco sueltos y seco compacto  ( PVSC ),N/A,900.0
