no_item,tipo_muestra,matriz_tipo,tipo_muestreo,ensayo_servicio,nombre_comercial,condiciones_muestra,codigo_servicio,estatus,norma_astm,procedimiento_muestreo,codigo_hoja_campo,unidad_medida,precio,observaciones
1,Agregados,Agregados,Aleatorio / Puntual,CYCSA-PE-01-Determinación de Humedad en muestras de Agregados.,"Humedad en agregados, ASTM C566-25","Tienen que venir o ser tomadas en bolsas o recipientes que mantengan la humedad del mesurando en el proceso de traslado, durante la custodia de la muestra (ensayo) hasta su eliminación.",CYCSA-RT-FM-22G,Acreditado,ASTM C566-25,CYCSA-PE-01,N/A,Unidad,900.0,( 2 dias hábiles )
2,Agregados,Agregados,Aleatorio / Puntual,CYCSA-PE-2-Método de prueba estándar para densidad relativa (gravedad específica) y absorción de agregado fino y gruesos                                                                               (% de Absorción),Absorción de Agregado Grueso – ASTM C127-25,ASTM C127 -25  agregado grueso                                        ASTM C128 -25  agregado fino                                                              15 kg de material pueden venir en saco,CYCSA-RT-FM-22G,No acreditado,"ASTM C127 -25
ASTM C128 -25",CYCSA-PE-02,NA,Unidad,900.0,( 3 dias hábiles )
3,Agregados,Agregados,Aleatorio / Puntual,CYCSA-PE-2-Método de prueba estándar para densidad relativa (gravedad específica) y absorción de agregado fino y gruesos                                                                               (% de Absorción),Absorción de Agregado Fino – ASTM C128-25,ASTM C127 -25  agregado grueso                                        ASTM C128 -25  agregado fino                                                              15 kg de material pueden venir en saco,CYCSA-RT-FM-22G,No acreditado,"ASTM C127 -25
ASTM C128 -25",CYCSA-PE-02,NA,Unidad,900.0,( 3 dias hábiles )
4,Agregados,Agregados,Aleatorio / puntual.,"CYCSA-PE-2-Método de prueba estándar para densidad relativa (gravedad específica) y absorción de agregado fino y gruesos                                                      (Gravedad GE, GE sss, GE AP)",Gravedad Específica y Absorción de Agregado Grueso – ASTM C127-25,ASTM C127 -15  agregado grueso                                        ASTM C128 -22  agregado fino                                                              15 kg de material pueden venir en saco,CYCSA-RT-FM-22G,No acreditado,"ASTM C127 -25
ASTM C128 -25",CYCSA-PE-02,NA,Unidad,2250.0,"(3 días hábiles) 
C$750.00 c/u"
5,Agregados,Agregados,Aleatorio / puntual.,"CYCSA-PE-2-Método de prueba estándar para densidad relativa (gravedad específica) y absorción de agregado fino y gruesos                                                      (Gravedad GE, GE sss, GE AP)",Gravedad Específica y Absorción de Agregado Fino – ASTM C128-25,ASTM C127 -15  agregado grueso                                        ASTM C128 -22  agregado fino                                                              15 kg de material pueden venir en saco,CYCSA-RT-FM-22G,No acreditado,"ASTM C127 -25
ASTM C128 -25",CYCSA-PE-02,NA,Unidad,2250.0,"(3 días hábiles) 
C$750.00 c/u"
6,Agregados,Agregados,Aleatorio / puntual.,"CYCSA-PE-3-Método de prueba estándar para densidad aparente (""Peso unitario"") y vacíos en agregados                                                              PVSC","Peso unitario PVSC, ASTM C29",15 kg de material pueden venir en saco,CYCSA-RT-FM-22G,No acreditado,ASTM C29 / C29M-23,CYCSA-PE-03,NA,Unidad,900.0,( 2 dias hábiles )
7,Agregados,Agregados,Aleatorio / puntual.,"CYCSA-PE-3-Método de prueba estándar para densidad aparente (""Peso unitario"") y vacíos en agregados                                                             PVSS","Peso unitario PVSS, ASTM C29",15 kg de material pueden venir en saco,CYCSA-RT-FM-22G,No acreditado,ASTM C29 / C29M-23,CYCSA-PE-03,NA,Unidad,900.0,(2 días hábiles)
8,Agregados,Agregados,Aleatorio / puntual.,"CYCSA-PE-3-Método de prueba estándar para densidad aparente (""Peso unitario"") y vacíos en agregados                                                             PVSS y PVSC","Peso unitario PVSS, PVSC  ASTM C29",15 kg de material pueden venir en saco,CYCSA-RT-FM-22G,No acreditado,ASTM C29 / C29M-23,CYCSA-PE-03,NA,Unidad,1500.0,(2 días hábiles)
9,Agregados,Otros ensayos,N/A,"CYCSA-PE-04 Determinación de la resistencia al desgaste, del agregado grueso de tamaño hasta de 37.5 mm (1½ pulg), por abrasión e impacto en la Maquina de Los Ángeles)                       Abrasión de los ángeles","Abrasión Los Ángeles, ASTM C131/C535",20 kg por submuestra,N/A,No acreditado,C131 / C131 M-20                          ASTM C535,CYCSA-PE-04,N/A,Unidad,3000.0,(2 días hábiles) A convenir
10,Agregados,Agregados,Aleatorio/ Puntual,CYCSA-PE-05- Determinacion de materia organica en los agregados finos para Concreto                                                                        (Colorimetria).,Materia Orgánica en Agregado Fino (Colorimetría) – ASTM C40/C40M-26,15 kg de material pueden venir en saco,CYCSA-RT-FM-22G,No acreditado,ASTM C140/C140M-26,CYCSA-PE-05,NA,Unidad,950.0,(2 días hábil)
